model; maxInf/percentage; initialC; infCut; tTotal(s); tPopulate(s); tInitialC(s); tSolver(s); solutionValue; averageSIW; minSIW; maxSIW; averageTreeSize; minTreeSize; maxTreeSize; reachedPercentage; numberOfPeople; 
1;15;10000;0.001;2754793;16590;2365163;160304;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529; 
1;15;100;0.001;117968;0;94635;4438;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529; 
1;15;100;0.001;124358;0;99957;4555;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529; 
1;15;1000;0.001;784881;0;727176;15017;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529; 
1;15;1000;0.001;406210;0;342684;11199;2069.2;86.1371;67.5409;130.727;56036;19882;81091;17.8659;160529; 
1;15;1000;0.01;77245;0;44640;14400;1866.85;86.1371;67.5409;130.727;12215;3947;18150;4.24959;27104; 
1;15;5000;0.01;282254;0;219979;17180;1866.85;86.1371;67.5409;130.727;12215;3947;18150;3.15093;27104; 
2;15;20000;0.01;1313154;12612;638942;603708;108250;86.3606;70.8935;130.727;11788;3947;18150;13.6862;135533; 
3;10;20000;0.01;1310200;13631;649871;604994;15;86.3606;70.8935;130.727;11788;3947;18150;13.6862;135533;
1;15;10000;0.001;2754793;16590;2365163;160304;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529;
1;15;100;0.001;117968;0;94635;4438;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529;
1;15;100;0.001;124358;0;99957;4555;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529;
1;15;1000;0.001;784881;0;727176;15017;2069.2;86.1371;67.5409;130.727;56037;19883;81092;16.2103;160529;
1;15;1000;0.001;406210;0;342684;11199;2069.2;86.1371;67.5409;130.727;56036;19882;81091;17.8659;160529;
1;15;1000;0.01;77245;0;44640;14400;1866.85;86.1371;67.5409;130.727;12215;3947;18150;4.24959;27104;
1;15;5000;0.01;282254;0;219979;17180;1866.85;86.1371;67.5409;130.727;12215;3947;18150;3.15093;27104;
2;15;20000;0.01;1313154;12612;638942;603708;108250;86.3606;70.8935;130.727;11788;3947;18150;13.6862;135533;
3;10;20000;0.01;1310200;13631;649871;604994;15;86.3606;70.8935;130.727;11788;3947;18150;13.6862;135533;
1;15;5000;0.1;127690;15526;99829;2771;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
2;15;5000;0.1;227116;15624;97976;105895;19100;73.5255;33.2238;130.727;1452;1093;2159;2.6673;26414;
3;50;5000;0.1;311187;19627;98829;101734;3668;18.3481;11.1714;130.727;304;54;2159;57.9123;573500;
1;15;5000;0.1;143358;25778;106995;2187;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
2;15;5000;0.1;242019;29694;100862;104181;19100;73.5255;33.2238;130.727;1452;1093;2159;2.6673;26414;
3;50;5000;0.1;322677;34008;96855;99355;3668;18.3481;11.1714;130.727;304;54;2159;57.9123;573500;
1;15;5000;0.1;150010;37146;102212;2059;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
2;15;5000;0.1;264037;44773;102549;109023;19100;73.5255;33.2238;130.727;1452;1093;2159;2.6673;26414;
3;50;5000;0.1;337242;49221;103021;98069;3668;18.3481;11.1714;130.727;304;54;2159;57.9123;573500;
1;15;5000;0.1;173530;56371;106493;2044;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
2;15;5000;0.1;285918;61284;104150;112436;19100;73.5255;33.2238;130.727;1452;1093;2159;2.6673;26414;
3;50;5000;0.1;370783;77709;102370;100266;3668;18.3481;11.1714;130.727;304;54;2159;57.9123;573500;
1;15;5000;0.1;216159;95351;108807;2703;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
2;15;5000;0.1;344308;100994;109783;123345;19100;73.5255;33.2238;130.727;1452;1093;2159;2.6673;26414;
3;50;5000;0.1;415876;116664;103491;102705;3668;18.3481;11.1714;130.727;304;54;2159;57.9123;573500;
1;15;5000;0.1;260002;138052;106806;5845;1450.1;86.3016;70.8398;130.727;1439;1050;2159;0.484908;4802;
